scope,ticker,date,taxonomy,positive_cross_bucket,severity,root,rows,crossed_ratio_pct,crossed_rows_raw,crossed_rows_ask_zero,crossed_rows_ask_positive,ask_integer_pct,median_bps_ask_positive,p90_bps_ask_positive,case_dir,event_month_png,adjusted_proxy_png,event_month_quotes_png,raw_window_png,full_session_png,structure_diag_png,summary_card_png,historical_context_png,case_note_md,source_file,post_event_dividend_sum,post_event_dividend_count,future_split_factor,future_split_count,event_close_raw,event_close_adjusted_proxy,event_quote_mid_raw,event_quote_mid_split_normalized,event_daily_split_normalized
review,UPL,2007-02-22,large_file_threshold_edge_hard_many_crosses,positive_cross_mild_lt5bps,HARD_FAIL,C,6900,2.8840579710144927,199,0,199,3.0434782608695654,3.9424403705900106,10.252792475014369,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\UPL_2007_02_22,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\UPL_2007_02_22\00_event_month_context.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\UPL_2007_02_22\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\UPL_2007_02_22\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\UPL_2007_02_22\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\UPL_2007_02_22\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\UPL_2007_02_22\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\UPL_2007_02_22\case_note.md,C:\TSIS_Data\data\quotes\UPL\year=2007\month=02\day=22\quotes.parquet,0.0,0,1.0,0,,,,,
review,NTGR,2006-11-13,large_file_threshold_edge_hard_many_crosses,positive_cross_mild_lt5bps,HARD_FAIL,D,9477,1.0551862403714256,100,0,100,2.4163764904505647,3.7404151860849115,11.121007611901067,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\NTGR_2006_11_13,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\NTGR_2006_11_13\00_event_month_context.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\NTGR_2006_11_13\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\NTGR_2006_11_13\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\NTGR_2006_11_13\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\NTGR_2006_11_13\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\NTGR_2006_11_13\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\NTGR_2006_11_13\case_note.md,D:\quotes\NTGR\year=2006\month=11\day=13\quotes.parquet,0.0,0,1.0,0,,,,,
review,PD,2006-05-26,large_file_threshold_edge_hard_many_crosses,positive_cross_mild_lt5bps,HARD_FAIL,C,32824,2.9460151108944674,967,0,967,1.084572264196929,2.2917382834875695,7.006563180766871,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\PD_2006_05_26,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\PD_2006_05_26\00_event_month_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\PD_2006_05_26\00a_event_month_adjusted_proxy.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\PD_2006_05_26\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\PD_2006_05_26\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\PD_2006_05_26\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\PD_2006_05_26\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\PD_2006_05_26\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\PD_2006_05_26\case_note.md,C:\TSIS_Data\data\quotes\PD\year=2006\month=05\day=26\quotes.parquet,0.6000000000000001,3,1.0,0,88.26,87.73063084103819,87.175,87.175,88.26
review,MON,2005-01-20,large_file_threshold_edge_hard_many_crosses,positive_cross_mild_lt5bps,HARD_FAIL,D,5850,1.2136752136752136,71,3,68,0.2905982905982906,1.7148246591782579,12.02026272859969,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\MON_2005_01_20,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\MON_2005_01_20\00_event_month_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\MON_2005_01_20\00a_event_month_adjusted_proxy.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\MON_2005_01_20\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\MON_2005_01_20\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\MON_2005_01_20\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\MON_2005_01_20\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\MON_2005_01_20\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\MON_2005_01_20\case_note.md,D:\quotes\MON\year=2005\month=01\day=20\quotes.parquet,17.859999999999996,53,2.0,1,29.2,28.931933126701267,58.455,29.2275,14.6
review,UPL,2006-02-03,large_file_threshold_edge_hard_many_crosses,positive_cross_mild_lt5bps,HARD_FAIL,D,3234,1.886209029066172,61,0,61,2.6283240568954853,1.5336247220291244,6.146281499691463,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\UPL_2006_02_03,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\UPL_2006_02_03\00_event_month_context.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\UPL_2006_02_03\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\UPL_2006_02_03\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\UPL_2006_02_03\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\UPL_2006_02_03\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\UPL_2006_02_03\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\UPL_2006_02_03\case_note.md,D:\quotes\UPL\year=2006\month=02\day=03\quotes.parquet,0.0,0,1.0,0,,,,,
review,MBI,2007-04-19,large_file_threshold_edge_hard_many_crosses,positive_cross_mild_lt5bps,HARD_FAIL,C,18222,0.9823290527933267,179,0,179,2.70003292723082,1.476777671122368,4.717952962855281,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\MBI_2007_04_19,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\MBI_2007_04_19\00_event_month_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\MBI_2007_04_19\00a_event_month_adjusted_proxy.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\MBI_2007_04_19\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\MBI_2007_04_19\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\MBI_2007_04_19\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\MBI_2007_04_19\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\MBI_2007_04_19\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\MBI_2007_04_19\case_note.md,C:\TSIS_Data\data\quotes\MBI\year=2007\month=04\day=19\quotes.parquet,9.02,4,1.0,0,67.86,37.84042428356564,68.07499999999999,68.07499999999999,67.86
review,BZH,2005-02-08,large_file_threshold_edge_hard_many_crosses,positive_cross_mild_lt5bps,HARD_FAIL,D,2735,4.058500914076783,111,15,96,3.2541133455210236,1.213150592156416,5.513377570167385,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\BZH_2005_02_08,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\BZH_2005_02_08\00_event_month_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\BZH_2005_02_08\00a_event_month_adjusted_proxy.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\BZH_2005_02_08\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\BZH_2005_02_08\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\BZH_2005_02_08\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\BZH_2005_02_08\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\BZH_2005_02_08\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\BZH_2005_02_08\case_note.md,D:\quotes\BZH\year=2005\month=02\day=08\quotes.parquet,0.0,0,0.2,1,842.5,842.5,165.51,827.55,4212.5
review,AWH,2013-02-06,large_file_threshold_edge_hard_many_crosses,positive_cross_mild_lt5bps,HARD_FAIL,D,9366,0.9822763185991885,92,91,1,2.3595985479393553,1.1735023176676778,1.1735023176676778,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\AWH_2013_02_06,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\AWH_2013_02_06\00_event_month_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\AWH_2013_02_06\00a_event_month_adjusted_proxy.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\AWH_2013_02_06\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\AWH_2013_02_06\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\AWH_2013_02_06\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\AWH_2013_02_06\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\AWH_2013_02_06\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\AWH_2013_02_06\case_note.md,D:\quotes\AWH\year=2013\month=02\day=06\quotes.parquet,10.094999999999999,17,0.2,2,426.3,419.57638528516486,85.185,425.925,2131.5
review,NM,2008-05-05,large_file_threshold_edge_hard_many_crosses,positive_cross_moderate_5to25bps,HARD_FAIL,D,12456,1.525369299935774,190,1,189,0.16056518946692355,16.077170418006087,40.08016032064185,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\NM_2008_05_05,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\NM_2008_05_05\00_event_month_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\NM_2008_05_05\00a_event_month_adjusted_proxy.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\NM_2008_05_05\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\NM_2008_05_05\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\NM_2008_05_05\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\NM_2008_05_05\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\NM_2008_05_05\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\NM_2008_05_05\case_note.md,D:\quotes\NM\year=2008\month=05\day=05\quotes.parquet,1.8900000000000003,30,0.1,1,125.3,118.61521760011388,12.25,122.5,1253.0
review,GRPN,2014-08-26,large_file_threshold_edge_hard_many_crosses,positive_cross_moderate_5to25bps,HARD_FAIL,D,40390,2.2975984154493685,928,0,928,0.0,15.5159038013961,15.5159038013961,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\GRPN_2014_08_26,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\GRPN_2014_08_26\00_event_month_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\GRPN_2014_08_26\00a_event_month_adjusted_proxy.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\GRPN_2014_08_26\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\GRPN_2014_08_26\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\GRPN_2014_08_26\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\GRPN_2014_08_26\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\GRPN_2014_08_26\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\review\GRPN_2014_08_26\case_note.md,D:\quotes\GRPN\year=2014\month=08\day=26\quotes.parquet,0.0,0,0.05,1,129.2,129.2,6.445,128.9,2583.9999999999995
