asset,bytes
financial_audit_summary_v0_1.csv,548
financial_audit_summary_v0_1.json,711
financial_coverage_by_endpoint_v0_1.csv,277
financial_date_range_summary_v0_1.csv,491
financial_empty_sentinel_example_manifest_v0_1.csv,6151
financial_file_level_quality_summary_v0_1.csv,392
financial_multi_cik_example_manifest_v0_1.csv,6851
financial_payload_example_manifest_v0_1.csv,7862
financial_run_errors_sample_v0_1.csv,16464
financial_run_progress_v0_1.json,612
financial_severe_issue_sample_manifest_v0_1.csv,9966
financial_severe_issue_summary_v0_1.csv,166
financial_temporal_issue_sample_manifest_v0_1.csv,9087
financial_temporal_status_summary_v0_1.csv,128
README.md,2466
sample_payloads/balance_sheets_A_sample_v0_1.csv,3011
sample_payloads/cash_flow_statements_A_sample_v0_1.csv,2362
sample_payloads/income_statements_A_sample_v0_1.csv,2366
sample_payloads/income_statements_AABA_sample_v0_1.csv,100
sample_payloads/ratios_A_sample_v0_1.csv,527
sample_payloads/ratios_AABA_sample_v0_1.csv,89
