scope,ticker,date,taxonomy,positive_cross_bucket,severity,root,rows,crossed_ratio_pct,crossed_rows_raw,crossed_rows_ask_zero,crossed_rows_ask_positive,ask_integer_pct,median_bps_ask_positive,p90_bps_ask_positive,case_dir,event_month_png,adjusted_proxy_png,event_month_quotes_png,raw_window_png,full_session_png,structure_diag_png,summary_card_png,historical_context_png,case_note_md,source_file,post_event_dividend_sum,post_event_dividend_count,future_split_factor,future_split_count,event_close_raw,event_close_adjusted_proxy,event_quote_mid_raw,event_quote_mid_split_normalized,event_daily_split_normalized
good,BCOV,2013-08-13,clean_pass_or_other,no_positive_cross,PASS,D,2599200,0.0,0,0,0,0.0,0.0,0.0,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\BCOV_2013_08_13,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\BCOV_2013_08_13\00_event_month_context.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\BCOV_2013_08_13\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\BCOV_2013_08_13\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\BCOV_2013_08_13\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\BCOV_2013_08_13\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\BCOV_2013_08_13\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\BCOV_2013_08_13\case_note.md,D:\quotes\BCOV\year=2013\month=08\day=13\quotes.parquet,0.0,0,1.0,0,,,,,
good,TOF,2010-09-01,clean_pass_or_other,no_positive_cross,PASS,C,466649,0.0,0,0,0,0.0,0.0,0.0,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\TOF_2010_09_01,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\TOF_2010_09_01\00_event_month_context.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\TOF_2010_09_01\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\TOF_2010_09_01\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\TOF_2010_09_01\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\TOF_2010_09_01\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\TOF_2010_09_01\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\TOF_2010_09_01\case_note.md,C:\TSIS_Data\data\quotes\TOF\year=2010\month=09\day=01\quotes.parquet,0.0,0,1.0,0,,,,,
good,TOF,2010-08-16,clean_pass_or_other,no_positive_cross,PASS,C,439265,0.0,0,0,0,0.0,0.0,0.0,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\TOF_2010_08_16,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\TOF_2010_08_16\00_event_month_context.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\TOF_2010_08_16\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\TOF_2010_08_16\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\TOF_2010_08_16\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\TOF_2010_08_16\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\TOF_2010_08_16\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\TOF_2010_08_16\case_note.md,C:\TSIS_Data\data\quotes\TOF\year=2010\month=08\day=16\quotes.parquet,0.0,0,1.0,0,,,,,
good,AMC,2024-05-14,persistent_soft_crossed_low,positive_cross_severe_ge25bps,SOFT_FAIL,D,1654368,0.26372608754521365,4363,22,4341,1.1336655447881003,19.82160555004913,115.99005799502947,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2024_05_14,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2024_05_14\00_event_month_context.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2024_05_14\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2024_05_14\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2024_05_14\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2024_05_14\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2024_05_14\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2024_05_14\case_note.md,D:\quotes\AMC\year=2024\month=05\day=14\quotes.parquet,0.0,0,1.0,0,,,,,
good,REPL,2025-07-30,persistent_soft_crossed_low,positive_cross_severe_ge25bps,SOFT_FAIL,D,1256438,0.31605220472478546,3971,1,3970,1.1983082332753385,17.19690455718087,44.54342984409837,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\REPL_2025_07_30,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\REPL_2025_07_30\00_event_month_context.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\REPL_2025_07_30\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\REPL_2025_07_30\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\REPL_2025_07_30\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\REPL_2025_07_30\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\REPL_2025_07_30\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\REPL_2025_07_30\case_note.md,D:\quotes\REPL\year=2025\month=07\day=30\quotes.parquet,0.0,0,1.0,0,,,,,
good,SCNX,2025-10-23,persistent_soft_crossed_low,positive_cross_severe_ge25bps,SOFT_FAIL,D,827571,0.30776815523985257,2547,4,2543,0.49820498784998507,45.766590389015036,117.90544445728803,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\SCNX_2025_10_23,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\SCNX_2025_10_23\00_event_month_context.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\SCNX_2025_10_23\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\SCNX_2025_10_23\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\SCNX_2025_10_23\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\SCNX_2025_10_23\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\SCNX_2025_10_23\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\SCNX_2025_10_23\case_note.md,D:\quotes\SCNX\year=2025\month=10\day=23\quotes.parquet,0.0,0,1.0,0,,,,,
good,YHOO,2017-06-09,soft_crossed_micro_noise,positive_cross_mild_lt5bps,SOFT_FAIL,C,954816,0.029325021784301897,280,3,277,1.1349830752731418,1.7990465053530837,3.5354428142117764,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\YHOO_2017_06_09,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\YHOO_2017_06_09\00_event_month_context.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\YHOO_2017_06_09\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\YHOO_2017_06_09\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\YHOO_2017_06_09\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\YHOO_2017_06_09\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\YHOO_2017_06_09\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\YHOO_2017_06_09\case_note.md,C:\TSIS_Data\data\quotes\YHOO\year=2017\month=06\day=09\quotes.parquet,0.0,0,1.0,0,,,,,
good,AMC,2021-09-10,soft_crossed_micro_noise,positive_cross_moderate_5to25bps,SOFT_FAIL,D,800742,0.02660032819559858,213,0,213,1.5636746917234263,2.0302507359654878,7.964954201513172,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2021_09_10,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2021_09_10\00_event_month_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2021_09_10\00a_event_month_adjusted_proxy.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2021_09_10\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2021_09_10\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2021_09_10\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2021_09_10\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2021_09_10\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2021_09_10\case_note.md,D:\quotes\AMC\year=2021\month=09\day=10\quotes.parquet,0.0,0,0.1,1,501.6,501.6,50.875,508.75,5016.0
good,AMC,2022-04-05,soft_crossed_micro_noise,positive_cross_moderate_5to25bps,SOFT_FAIL,D,599412,0.014847884259908045,89,0,89,0.3321588490053586,4.704775346977916,9.376465072667406,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2022_04_05,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2022_04_05\00_event_month_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2022_04_05\00a_event_month_adjusted_proxy.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2022_04_05\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2022_04_05\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2022_04_05\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2022_04_05\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2022_04_05\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2022_04_05\case_note.md,D:\quotes\AMC\year=2022\month=04\day=05\quotes.parquet,0.0,0,0.1,1,212.1,212.1,21.665,216.64999999999998,2121.0
good,AMC,2022-02-01,utc_rollover_large_day_clean,positive_cross_severe_ge25bps,SOFT_FAIL,D,888266,0.04773344921453709,424,0,424,1.4156795374358582,11.142061281336806,25.844840309954336,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2022_02_01,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2022_02_01\00_event_month_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2022_02_01\00a_event_month_adjusted_proxy.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2022_02_01\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2022_02_01\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2022_02_01\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2022_02_01\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2022_02_01\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\good_sample\AMC_2022_02_01\case_note.md,D:\quotes\AMC\year=2022\month=02\day=01\quotes.parquet,0.0,0,0.1,1,168.6,168.6,17.42,174.20000000000002,1685.9999999999998
