contract_version,lesson_id,translation_id,rule_id,target,tsis_artifact_candidate,action_type,priority,blocking_power,consumer_scope,implementation_hint,requires_human_review,source_anchor_refs,notes
sersan_tsis_translation_map_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_tr_0001,sersan_practice_02_donchain_rule_0001,data_quality_gate,TSIS_FUTURES_CONTINUOUS_PRICE_VIEW_POLICY,require,high,human_review_gate,backtest|AlphaEvolve,Require explicit price-view metadata before any futures strategy evaluation.,true,sersan_practice_02_donchain_rule_0001,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_tr_0002,sersan_practice_02_donchain_rule_0002,execution_realism_check,TSIS_ROLL_GAP_PNL_CHECK,block,critical,hard_gate,backtest|AlphaEvolve,Block PnL attribution to synthetic roll gaps unless explicitly justified.,true,sersan_practice_02_donchain_rule_0002,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_tr_0003,sersan_practice_02_donchain_rule_0003,research_protocol,TSIS_CONTINUOUS_ADJUSTMENT_DECISION_LOG,document,medium,soft_gate,backtest,Log ratio vs difference adjustment choice and tick-rounding policy.,false,sersan_practice_02_donchain_rule_0003,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_tr_0004,sersan_practice_02_donchain_rule_0004,strategy_evaluator,TSIS_ENTRY_EDGE_PRECHECK,require,critical,human_review_gate,backtest|AlphaEvolve,Require symmetric stop/target preliminary test before accepting entry-edge claims.,true,sersan_practice_02_donchain_rule_0004,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_tr_0005,sersan_practice_02_donchain_rule_0005,strategy_evaluator,TSIS_EXIT_ACTUATION_CHECK,require,high,soft_gate,backtest|AlphaEvolve,Report counts by exit reason and flag exits with insufficient activation.,false,sersan_practice_02_donchain_rule_0005,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_tr_0006,sersan_practice_02_donchain_rule_0006,backtest_checklist,TSIS_EQUITY_BENCHMARK_CHECK,require,high,soft_gate,backtest|AlphaEvolve,Compare strategy to buy and hold with return and drawdown metrics.,false,sersan_practice_02_donchain_rule_0006,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_tr_0007,sersan_practice_02_donchain_rule_0007,strategy_evaluator,TSIS_MULTI_ASSET_SETUP_CHECK,score,high,soft_gate,backtest|AlphaEvolve,Require universe-level distribution evidence for preliminary setup validation.,false,sersan_practice_02_donchain_rule_0007,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_tr_0008,sersan_practice_02_donchain_rule_0008,money_management_policy,TSIS_SIZING_AND_EXPOSURE_AUDIT,block,critical,hard_gate,backtest|AlphaEvolve,Block interpretation when exposure or sizing deviates from intended capital model.,true,sersan_practice_02_donchain_rule_0008,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_tr_0009,sersan_practice_02_donchain_rule_0009,research_protocol,TSIS_ENTRY_EXIT_CHARACTERIZATION,document,medium,none,backtest,"Document system character using entry plus exit design, not entry alone.",false,sersan_practice_02_donchain_rule_0009,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_tr_0010,sersan_practice_02_donchain_rule_0010,research_protocol,TSIS_VALIDATION_ROUTE_DECLARATION,require,high,human_review_gate,backtest|AlphaEvolve,Require explicit validation route for low-parameter systems.,true,sersan_practice_02_donchain_rule_0010,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_tr_0011,sersan_practice_02_donchain_rule_0011,AlphaEvolve_constraint,TSIS_FILTER_SAMPLE_SIZE_GATE,block,critical,hard_gate,backtest|AlphaEvolve|ML,Block new filters that lack affected-trade and remaining-sample evidence.,true,sersan_practice_02_donchain_rule_0011,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_tr_0012,sersan_practice_02_donchain_rule_0012,AlphaEvolve_constraint,TSIS_FILTER_SIMPLICITY_BIAS,warn,high,soft_gate,backtest|AlphaEvolve,Warn when optional filters do not improve evidence enough versus simpler baseline.,false,sersan_practice_02_donchain_rule_0012,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_02_donchain,sersan_practice_02_donchain_tr_0013,sersan_practice_02_donchain_rule_0013,portfolio_evaluator,TSIS_PORTFOLIO_LEVEL_EXIT_EVALUATOR,review,medium,human_review_gate,backtest|AlphaEvolve,Evaluate aggregate equity exits separately from single-trade exits.,true,sersan_practice_02_donchain_rule_0013,Candidate mapping; requires doctrine review before implementation.
