contract_version,lesson_id,translation_id,rule_id,target,tsis_artifact_candidate,action_type,priority,blocking_power,consumer_scope,implementation_hint,requires_human_review,source_anchor_refs,notes
sersan_tsis_translation_map_v0_1,sersan_practice_09_revision_apolo,sersan_practice_09_revision_apolo_tr_0001,sersan_practice_09_revision_apolo_rule_0001,research_protocol,TSIS_OPTIMIZATION_INPUT_SCOPE_DECLARATION,require,critical,hard_gate,backtest|AlphaEvolve,Require an input-scope manifest before any optimization run.,true,sersan_practice_09_revision_apolo_rule_0001,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_09_revision_apolo,sersan_practice_09_revision_apolo_tr_0002,sersan_practice_09_revision_apolo_rule_0002,execution_realism_check,TSIS_HALT_OR_NONEXECUTABLE_FILL_PENALTY_GATE,block,critical,hard_gate,backtest|AlphaEvolve,Block or penalize candidates whose edge depends on non-executable event fills.,true,sersan_practice_09_revision_apolo_rule_0002,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_09_revision_apolo,sersan_practice_09_revision_apolo_tr_0003,sersan_practice_09_revision_apolo_rule_0003,AlphaEvolve_constraint,TSIS_NO_DIRECT_SELECTION_FROM_LARGE_IS_RANKING,block,critical,hard_gate,AlphaEvolve|backtest,Forbid direct selection from broad IS ranking lists without zone reduction.,true,sersan_practice_09_revision_apolo_rule_0003,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_09_revision_apolo,sersan_practice_09_revision_apolo_tr_0004,sersan_practice_09_revision_apolo_rule_0004,strategy_evaluator,TSIS_OPTIMIZATION_MAP_HEATMAP_PRIMARY_REVIEW,require,high,human_review_gate,backtest|AlphaEvolve,Require heatmap/pivot evidence for parameter-map interpretation.,true,sersan_practice_09_revision_apolo_rule_0004,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_09_revision_apolo,sersan_practice_09_revision_apolo_tr_0005,sersan_practice_09_revision_apolo_rule_0005,strategy_evaluator,TSIS_PARAMETER_ZONE_NEIGHBOR_VALIDATION,require,critical,hard_gate,backtest|AlphaEvolve,Reject isolated peaks without neighbor support.,true,sersan_practice_09_revision_apolo_rule_0005,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_09_revision_apolo,sersan_practice_09_revision_apolo_tr_0006,sersan_practice_09_revision_apolo_rule_0006,optimizer_runner,TSIS_PARAMETER_BOUNDARY_EXTENSION_CHECK,require,high,hard_gate,backtest|AlphaEvolve,Require extended-range check when optima touch tested boundaries.,true,sersan_practice_09_revision_apolo_rule_0006,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_09_revision_apolo,sersan_practice_09_revision_apolo_tr_0007,sersan_practice_09_revision_apolo_rule_0007,strategy_evaluator,TSIS_PARAMETER_TOLERANCE_SCORE,document,high,soft_gate,backtest|AlphaEvolve,Score broad parameter support alongside local maxima.,true,sersan_practice_09_revision_apolo_rule_0007,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_09_revision_apolo,sersan_practice_09_revision_apolo_tr_0008,sersan_practice_09_revision_apolo_rule_0008,strategy_evaluator,TSIS_MULTI_METRIC_IS_OOS_COMPARISON,require,critical,hard_gate,backtest|AlphaEvolve,"Compare normalized TSI, ES, PPC and robustness across IS/OOS/AllData.",true,sersan_practice_09_revision_apolo_rule_0008,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_09_revision_apolo,sersan_practice_09_revision_apolo_tr_0009,sersan_practice_09_revision_apolo_rule_0009,optimizer_runner,TSIS_REDUCED_CANDIDATE_SET_AFTER_MAP_FILTER,require,critical,hard_gate,backtest|AlphaEvolve,Require bounded candidate count after map filtering.,true,sersan_practice_09_revision_apolo_rule_0009,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_09_revision_apolo,sersan_practice_09_revision_apolo_tr_0010,sersan_practice_09_revision_apolo_rule_0010,human_review_checklist,TSIS_PERFORMANCE_REPORT_FINAL_REVIEW,require,high,human_review_gate,backtest,Require report/equity/trade-list review after quantitative gates.,true,sersan_practice_09_revision_apolo_rule_0010,Candidate mapping; requires doctrine review before implementation.
