visual_id,image_path,category,evidence_sources,what_it_shows,inspector_question,interpretation,status
halts_source_completeness_panel_v0_1,images/halts_source_completeness_panel_v0_1.png,source_quality,halts_source_quality_summary_v0_1.csv,Rows and key-field completeness by official halt source.,Which halt sources support intraday event timing?,Nasdaq/NYSE support intraday timing; SEC is date/context-level regulatory evidence.,usable_with_source_semantics
halts_event_taxonomy_scope_panel_v0_1,images/halts_event_taxonomy_scope_panel_v0_1.png,population_taxonomy,halts_event_taxonomy_summary_v0_1.csv; halts_lt1b_event_taxonomy_summary_v0_1.csv,Canonical and LT1B halt event taxonomy distributions.,Does the event layer remain structurally usable in the project universe?,"Yes, with explicit separation between intraday, date-level, review and regulatory-context buckets.",usable_for_declared_scope
halts_lt1b_universe_coverage_panel_v0_1,images/halts_lt1b_universe_coverage_panel_v0_1.png,coverage_scope,halts_coverage_summary_v0_1.csv,LT1B tickers with and without matched halt events plus total matched halt events.,Does absence of a halt row imply missing data?,No. Absence means no matched official event in the governed halt layer.,coverage_context
halts_multisource_reconciliation_panel_v0_1,images/halts_multisource_reconciliation_panel_v0_1.png,reconciliation,halts_multisource_reconciliation_v0_1.csv,"Rows before concat, rows after builder dedup and dedup delta by source/scope.",Where does multisource reconciliation change row counts?,The material dedup change is Nasdaq/all-source concat; this is governed and version-sensitive.,usable_with_versioning
halts_visual_casepack_boundary_panel_v0_1,images/halts_visual_casepack_boundary_panel_v0_1.png,good_review_bad_boundary,halts_visual_bucket_summary_v0_1.csv; halts_case_manifest_v0_1.csv,Visual overlay bucket distribution plus good/review/bad/causal/coverage casepack inventory.,"Does the visual evidence distinguish coherent, review and residual halt cases?","Yes. Coherent cases dominate, and residual/review cases have explicit casepack boundaries.",human_inspector_ready
01_source_quality_rows,images/01_source_quality_rows.png,source_quality_historical,evidence_assets/population_visual_overview/,Existing population overview for row mass and source quality.,Which source dominates the halt master?,Nasdaq dominates row mass; NYSE and SEC have distinct source semantics.,usable_with_source_semantics
02_canonical_event_taxonomy,images/02_canonical_event_taxonomy.png,taxonomy_historical,evidence_assets/population_visual_overview/,Existing population overview for canonical halt taxonomy.,What is the overall canonical event distribution?,Full-intraday events dominate; hard bad residual is marginal.,usable_for_declared_scope
03_lt1b_event_taxonomy,images/03_lt1b_event_taxonomy.png,taxonomy_historical,evidence_assets/population_visual_overview/,Existing population overview for LT1B halt taxonomy.,Does the taxonomy remain strong inside the LT1B universe?,The LT1B subset remains dominated by full-intraday events.,usable_for_declared_scope
04_visual_case_bucket_distribution,images/04_visual_case_bucket_distribution.png,visual_overlay_historical,evidence_assets/population_visual_overview/,Existing population overview for halt/quotes/trades overlay buckets.,What visual overlay buckets exist in historical evidence?,Coherent microstructure overlays dominate; asymmetric buckets are review.,human_inspector_ready
05_top_tickers_by_halt_events,images/05_top_tickers_by_halt_events.png,coverage_historical,evidence_assets/population_visual_overview/,Existing population overview for concentration by ticker.,Is halt activity concentrated by ticker?,Yes; sampling and casepacks must account for concentration.,coverage_context
