dataset,dataset_family,dataset_kind,raw_vendor_role,quality_state,master_table_destination,validator_focus,files_present,files_non_empty,coverage_non_empty_pct,rows_total,date_min,date_max,forbidden_interpretation
income_statements,financials_core,ticker_based,RAW vendor fundamentals/context,good_context_candidate,master_daily_table context; data_quality_report,"filing_date, period_end, fiscal_year, fiscal_quarter, ticker identity",4824.0,4813.0,99.772,242897,,,Do not treat filing-period facts as decision-time fields without point-in-time filing logic.
balance_sheets,financials_core,ticker_based,RAW vendor fundamentals/context,good_context_candidate,master_daily_table context; symbol_master; data_quality_report,"filing_date, period_end, fiscal_year, fiscal_quarter, ticker identity",4824.0,4813.0,99.772,136672,,,Do not treat balance-sheet fields as always-known on period_end.
cash_flow_statements,financials_core,ticker_based,RAW vendor fundamentals/context,good_context_candidate,master_daily_table context; data_quality_report,"filing_date, period_end, fiscal_year, fiscal_quarter, ticker identity",4824.0,4810.0,99.71,242223,,,Do not use as alpha-ready features without point-in-time filing availability.
ratios,financials_ratios,ticker_based,RAW vendor ratios/context,review_sparse_snapshot,data_quality_report; deferred context only,"date key, sparsity, denominator sanity, vendor derivation caveat",4824.0,2232.0,46.269,4824,,,Do not promote to primary ML feature layer from coverage alone.
news,news,ticker_based,RAW vendor news/event context,good_review_attribution_aware,master_daily_table news_flag; event/context table; data_quality_report,"published_utc, ticker attribution, multi-ticker ambiguity, timezone",4824.0,3869.0,80.203,288093,,,Do not read requested ticker as sole causal subject when article tickers are multi-name.
ipos,ipos,ticker_based,RAW vendor IPO/event context,good_review_sparse_event,symbol_master listing context; master_daily_table ipo_age/ipo_flag; data_quality_report,"listing_date, announced_date fallback, issuer identity, sparse expected coverage",4824.0,1255.0,26.016,4850,,,Do not treat sparse IPO files as missing-data failure for mature tickers.
dividends,corporate_actions_additional,ticker_based,RAW vendor corporate-action context,review_secondary_to_reference,corporate_actions_table reconciliation; data_quality_report,"reference overlap, ex_dividend_date, id, cash amount",4824.0,1258.0,26.078,49684,,,Do not override reference dividends without reconciliation.
splits,corporate_actions_additional,ticker_based,RAW vendor corporate-action context,review_secondary_to_reference,corporate_actions_table reconciliation; data_quality_report,"reference overlap, execution_date, split ratio, id",4824.0,1876.0,38.889,6283,,,Do not adjust prices from additional splits when reference disagrees.
ticker_events,corporate_actions_additional,ticker_based,RAW vendor corporate-event context,review_secondary_to_reference,event/reference reconciliation; data_quality_report,"event taxonomy, date key, reference reconciliation",4824.0,2703.0,56.032,5158,,,Do not treat ticker_events as canonical identity/corporate-action authority.
inflation,economic,macro,RAW vendor macro context,good_macro_context,calendar_table macro context; data_quality_report,"date continuity, release/calendar semantics, macro-only scope",,,,950,1947-01-01,2026-02-01,Do not claim ticker-level causality from macro-date presence.
inflation_expectations,economic,macro,RAW vendor macro context,good_macro_context,calendar_table macro context; data_quality_report,"date continuity, release/calendar semantics, macro-only scope",,,,531,1982-01-01,2026-03-01,Do not claim ticker-level causality from macro-date presence.
treasury_yields,economic,macro,RAW vendor macro context,good_macro_context,calendar_table macro context; data_quality_report,"date continuity, curve fields, macro-only scope",,,,16047,1962-01-02,2026-04-02,Do not claim ticker-level causality from macro-date presence.
