contract_version,lesson_id,translation_id,rule_id,target,tsis_artifact_candidate,action_type,priority,blocking_power,consumer_scope,implementation_hint,requires_human_review,source_anchor_refs,notes
sersan_tsis_translation_map_v0_1,sersan_practice_15_revised,sersan_practice_15_revised_tr_0001,sersan_practice_15_revised_rule_0001,TSIS_STOP_ORDER_PLACEMENT_POLICY,backtest_order_semantics_gate,gate,medium,warning,Backtest Harness,Audit built-in stops versus manual side-specific exits.,false,sersan_practice_15_revised_rule_0001,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_15_revised,sersan_practice_15_revised_tr_0002,sersan_practice_15_revised_rule_0002,TSIS_NO_MARTINGALE_WITHOUT_EDGE_GATE,strategy_edge_precondition,gate,critical,blocking,AlphaEvolve,Reject recovery sizing as a substitute for raw edge.,true,sersan_practice_15_revised_rule_0002,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_15_revised,sersan_practice_15_revised_tr_0003,sersan_practice_15_revised_rule_0003,TSIS_SEARCH_TOOL_NOT_SYSTEM_GATE,strategy_candidate_origin_gate,gate,high,blocking,Sersan/AlphaEvolve,Mark Buscador outputs as ideas requiring independent implementation.,true,sersan_practice_15_revised_rule_0003,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_15_revised,sersan_practice_15_revised_tr_0004,sersan_practice_15_revised_rule_0004,TSIS_SIDE_SAMPLE_AND_DOF_CHECK,side_sample_dof_report,metric,high,warning,Backtest Harness,Report side counts with degrees of freedom and optimization pressure.,true,sersan_practice_15_revised_rule_0004,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_15_revised,sersan_practice_15_revised_tr_0005,sersan_practice_15_revised_rule_0005,TSIS_COST_AND_SWAP_FRICTION_GATE,execution_cost_model_contract,gate,high,blocking,Backtest/Data Quality,"Require friction, borrow, financing or swap assumptions before ranking.",true,sersan_practice_15_revised_rule_0005,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_15_revised,sersan_practice_15_revised_tr_0006,sersan_practice_15_revised_rule_0006,TSIS_INSTRUMENT_FEASIBILITY_PORTFOLIO_POLICY,instrument_feasibility_matrix,policy,medium,warning,Portfolio Harness,"Compare futures, CFDs, ETFs and equities by feasibility and diversification.",false,sersan_practice_15_revised_rule_0006,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_15_revised,sersan_practice_15_revised_tr_0007,sersan_practice_15_revised_rule_0007,TSIS_RAW_TRADE_EXPORT_FOR_MM_ANALYSIS,raw_trade_export_contract,artifact,critical,blocking,Backtest Harness,Keep raw trades separate from post-export sizing results.,true,sersan_practice_15_revised_rule_0007,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_15_revised,sersan_practice_15_revised_tr_0008,sersan_practice_15_revised_rule_0008,TSIS_LASTBAR_EXPORT_GUARD,trade_export_single_execution_gate,gate,high,blocking,Backtest Harness,Validate lastbar guard and one-time export behavior.,true,sersan_practice_15_revised_rule_0008,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_15_revised,sersan_practice_15_revised_tr_0009,sersan_practice_15_revised_rule_0009,TSIS_TRADE_RISK_DEFINITION_REQUIRED,trade_risk_field_contract,artifact,critical,blocking,Backtest/AlphaEvolve,Require same-unit risk per trade for all risk-based sizing.,true,sersan_practice_15_revised_rule_0009,Candidate mapping; requires doctrine review before implementation.
sersan_tsis_translation_map_v0_1,sersan_practice_15_revised,sersan_practice_15_revised_tr_0010,sersan_practice_15_revised_rule_0010,TSIS_NORMALIZED_VOLATILITY_RISK_POLICY,normalized_volatility_risk_calculator,policy,critical,blocking,Backtest Harness,Use price-normalized volatility for long histories.,true,sersan_practice_15_revised_rule_0010,Candidate mapping; requires doctrine review before implementation.
