visual_id,image_path,category,evidence_sources,what_it_shows,inspector_question,interpretation,status
reference_identity_quality_panel_v0_1,images/reference_identity_quality_panel_v0_1.png,identity_quality,reference_population_summary_v0_1.csv,"Good, review and bad identity buckets plus overview 404 residual classification.",Is the identity layer mostly usable while preserving unresolved identity debt?,"Yes. Good identity dominates, but review and bad identity residuals are explicit.",usable_with_identity_flags
reference_download_endpoint_status_panel_v0_1,images/reference_download_endpoint_status_panel_v0_1.png,endpoint_quality,reference_download_endpoint_summary_v0_1.csv,OK/error/http-404 percentages and endpoint status shape by reference subfamily.,Which endpoints have true residual risk versus expected operational semantics?,Overview errors are identity residual; events 404s should not be read as corruption by default.,usable_with_endpoint_semantics
reference_payload_family_panel_v0_1,images/reference_payload_family_panel_v0_1.png,payload_semantics,reference_population_summary_v0_1.csv,"Events, splits and dividends payload buckets on a log-scale count panel.",Which reference payload families carry real consumable events?,Dividends and splits have real payloads; no-payload placeholders and ticker-change semantics must stay explicit.,usable_with_payload_flags
reference_causal_alignment_panel_v0_1,images/reference_causal_alignment_panel_v0_1.png,causal_overlay,reference_population_summary_v0_1.csv,"Causal overlay buckets against halts, quotes, trades, daily and 1m evidence.",Where does reference explain downstream anomalies versus only flag review context?,Strongest evidence is events->halts and splits->trades; other overlays remain review scoped.,usable_with_causal_boundaries
reference_listing_presence_boundary_panel_v0_1,images/reference_listing_presence_boundary_panel_v0_1.png,coverage_boundary,reference_listing_presence_summary_v0_1.csv; reference_case_manifest_v0_1.csv,"Listing snapshot density, LT1B overlap, casepack count and downstream consumer boundaries.",Can all_tickers or ticker_change be used as final universe or trading signal?,"No. Reference supports presence, corporate actions and overlays under policy, not final universe or alpha.",human_inspector_ready_with_boundaries
reference_casepack_status_panel_v0_1,images/reference_casepack_status_panel_v0_1.png,good_review_bad_boundary,reference_case_manifest_v0_1.csv,"Inventory of good, review, bad, causal and coverage reference casepacks.",Are casepack states separated for human inspection?,Yes. The visual pack preserves explicit case families instead of collapsing them into one pass/fail claim.,human_inspector_ready
01_identity_quality_distribution,images/01_identity_quality_distribution.png,identity_historical,evidence_assets/population_visual_overview/,Existing population overview for identity quality.,What is the identity good/review/bad distribution?,"Good identity dominates, with review and bad residuals explicit.",usable_with_identity_flags
02_download_endpoint_status,images/02_download_endpoint_status.png,endpoint_historical,evidence_assets/population_visual_overview/,Existing population overview for endpoint download status.,Which endpoints have ok/error/404 status mass?,Overview has identity-linked 404/error residual; events 404s have no-event semantics.,usable_with_endpoint_semantics
03_payload_family_distribution,images/03_payload_family_distribution.png,payload_historical,evidence_assets/population_visual_overview/,"Existing population overview for events, splits and dividends payload families.",Which payload families contain real events?,Dividends and splits have real payload; empty/no-event payloads remain explicit.,usable_with_payload_flags
04_causal_alignment_distribution,images/04_causal_alignment_distribution.png,causal_historical,evidence_assets/population_visual_overview/,Existing population overview for reference causal overlays.,Where does reference explain downstream market-data anomalies?,Events->halts and splits->trades are strongest; other overlays remain review.,usable_with_causal_boundaries
05_listing_snapshot_density,images/05_listing_snapshot_density.png,coverage_historical,evidence_assets/population_visual_overview/,Existing population overview for all_tickers listing snapshot density.,Can all_tickers support temporal presence?,"Yes as support, not as final PTI universe membership.",coverage_context
