visual_id,image_path,category,evidence_sources,what_it_shows,inspector_question,interpretation,status
intraday_regime_features_pilot_population_map_v0_1,images/intraday_regime_features_pilot_population_map_v0_1.png,coverage_scope,intraday_regime_features_materialization_summary_v0_1.csv; intraday_regime_features_audit_summary_v0_1.json,"Ticker-day population, physical footprint, date span and duplicate-key summary for the pilot.",What exactly is covered by this feature pilot?,The package proves the declared pilot population only; it must not be read as full-universe materialization.,scoped
intraday_regime_features_semantic_case_summary_v0_1,images/intraday_regime_features_semantic_case_summary_v0_1.png,good_boundary_control,intraday_regime_features_semantic_case_manifest_v0_1.csv,Maximum raw-vs-normalized feature divergence by semantic pilot case.,Does the consumer react where split normalization should matter and remain neutral for controls?,Yes within pilot scope: split-sensitive cases diverge strongly while controls remain neutral.,scoped_pass
intraday_regime_features_lookback_null_boundary_panel_v0_1,images/intraday_regime_features_lookback_null_boundary_panel_v0_1.png,boundary_case,intraday_regime_features_null_summary_v0_1.csv,Top non-zero null rates by feature column.,Are nulls concentrated in interpretable lookback boundaries?,"Yes for the pilot evidence: nulls are in z-score, multi-session and previous-session columns.",boundary_scoped
intraday_regime_features_provenance_matrix_v0_1,images/intraday_regime_features_provenance_matrix_v0_1.png,provenance,intraday_regime_features_provenance_summary_v0_1.csv,Per-column provenance value matching across all feature files.,Can a downstream consumer reconstruct the intended data semantics from file metadata?,Yes within pilot scope: all provenance columns match the expected values in all files.,scoped_pass
intraday_regime_features_production_boundary_panel_v0_1,images/intraday_regime_features_production_boundary_panel_v0_1.png,production_boundary,intraday_regime_features_quality_report_v0_1.md,"Allowed, restricted and not-enabled downstream consumers for this scoped pilot.",Which consumers may treat this pilot as usable input?,Only scoped validation/inspection/research uses are allowed; production and live surfaces are not enabled.,scoped_boundary
BNGO_2025_01,images/BNGO_2025_01.png,good_split_case,intraday_regime_features_semantic_case_manifest_v0_1.csv; dossier images/,BNGO 2025-01 reverse_split raw-vs-split-normalized feature comparison with future split factor.,Does this concrete ticker/month show the expected split-normalization behavior?,Split-sensitive case shows material raw-vs-normalized divergence.,scoped_pass
CEI_2022_12,images/CEI_2022_12.png,good_split_case,intraday_regime_features_semantic_case_manifest_v0_1.csv; dossier images/,CEI 2022-12 reverse_split raw-vs-split-normalized feature comparison with future split factor.,Does this concrete ticker/month show the expected split-normalization behavior?,Split-sensitive case shows material raw-vs-normalized divergence.,scoped_pass
BXRX_2022_12,images/BXRX_2022_12.png,good_split_case,intraday_regime_features_semantic_case_manifest_v0_1.csv; dossier images/,BXRX 2022-12 reverse_split raw-vs-split-normalized feature comparison with future split factor.,Does this concrete ticker/month show the expected split-normalization behavior?,Split-sensitive case shows material raw-vs-normalized divergence.,scoped_pass
COSM_2022_12,images/COSM_2022_12.png,good_split_case,intraday_regime_features_semantic_case_manifest_v0_1.csv; dossier images/,COSM 2022-12 reverse_split raw-vs-split-normalized feature comparison with future split factor.,Does this concrete ticker/month show the expected split-normalization behavior?,Split-sensitive case shows material raw-vs-normalized divergence.,scoped_pass
EFSH_2025_01,images/EFSH_2025_01.png,good_split_case,intraday_regime_features_semantic_case_manifest_v0_1.csv; dossier images/,EFSH 2025-01 forward_split raw-vs-split-normalized feature comparison with future split factor.,Does this concrete ticker/month show the expected split-normalization behavior?,Split-sensitive case shows material raw-vs-normalized divergence.,scoped_pass
LIVE_2014_02,images/LIVE_2014_02.png,good_split_case,intraday_regime_features_semantic_case_manifest_v0_1.csv; dossier images/,LIVE 2014-02 forward_split raw-vs-split-normalized feature comparison with future split factor.,Does this concrete ticker/month show the expected split-normalization behavior?,Split-sensitive case shows material raw-vs-normalized divergence.,scoped_pass
PD_2006_03,images/PD_2006_03.png,boundary_split_case,intraday_regime_features_semantic_case_manifest_v0_1.csv; dossier images/,PD 2006-03 forward_split raw-vs-split-normalized feature comparison with future split factor.,Does this concrete ticker/month show the expected split-normalization behavior?,Split case remains coherent but below the 50% review threshold.,boundary_scoped
SAVA_2023_12,images/SAVA_2023_12.png,boundary_split_case,intraday_regime_features_semantic_case_manifest_v0_1.csv; dossier images/,SAVA 2023-12 forward_split raw-vs-split-normalized feature comparison with future split factor.,Does this concrete ticker/month show the expected split-normalization behavior?,Split case remains coherent but below the 50% review threshold.,boundary_scoped
BXRX_2022_11,images/BXRX_2022_11.png,control_case,intraday_regime_features_semantic_case_manifest_v0_1.csv; dossier images/,BXRX 2022-11 control raw-vs-split-normalized feature comparison with future split factor.,Does this concrete ticker/month show the expected split-normalization behavior?,Control case remains neutral under raw-vs-normalized comparison.,control_pass
BNGO_2025_02,images/BNGO_2025_02.png,control_case,intraday_regime_features_semantic_case_manifest_v0_1.csv; dossier images/,BNGO 2025-02 control raw-vs-split-normalized feature comparison with future split factor.,Does this concrete ticker/month show the expected split-normalization behavior?,Control case remains neutral under raw-vs-normalized comparison.,control_pass
