scope,ticker,date,taxonomy,positive_cross_bucket,severity,root,rows,crossed_ratio_pct,crossed_rows_raw,crossed_rows_ask_zero,crossed_rows_ask_positive,ask_integer_pct,median_bps_ask_positive,p90_bps_ask_positive,case_dir,event_month_png,adjusted_proxy_png,event_month_quotes_png,raw_window_png,full_session_png,structure_diag_png,summary_card_png,historical_context_png,case_note_md,source_file,post_event_dividend_sum,post_event_dividend_count,future_split_factor,future_split_count,event_close_raw,event_close_adjusted_proxy,event_quote_mid_raw,event_quote_mid_split_normalized,event_daily_split_normalized
bad,SGC,2013-11-04,high_hard_crossed_10_to_20,positive_cross_severe_ge25bps,HARD_FAIL,D,149,14.76510067114094,22,17,5,18.79194630872483,217.60633036597434,217.60633036597434,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SGC_2013_11_04,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SGC_2013_11_04\00_event_month_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SGC_2013_11_04\00a_event_month_adjusted_proxy.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SGC_2013_11_04\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SGC_2013_11_04\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SGC_2013_11_04\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SGC_2013_11_04\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SGC_2013_11_04\04_summary_card.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SGC_2013_11_04\05_historical_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SGC_2013_11_04\case_note.md,D:\quotes\SGC\year=2013\month=11\day=04\quotes.parquet,5.734999999999999,50,2.0,1,7.71,3.6701080401675554,15.2475,7.62375,3.855
bad,SELF,2016-06-28,high_hard_crossed_10_to_20,positive_cross_severe_ge25bps,HARD_FAIL,C,187,16.577540106951872,31,28,3,14.973262032085561,36.630036630035846,36.630036630035846,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SELF_2016_06_28,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SELF_2016_06_28\00_event_month_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SELF_2016_06_28\00a_event_month_adjusted_proxy.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SELF_2016_06_28\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SELF_2016_06_28\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SELF_2016_06_28\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SELF_2016_06_28\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SELF_2016_06_28\04_summary_card.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SELF_2016_06_28\05_historical_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SELF_2016_06_28\case_note.md,C:\TSIS_Data\data\quotes\SELF\year=2016\month=06\day=28\quotes.parquet,2.6474999999999986,39,1.0,0,5.44,3.119175968078649,5.445,5.445,5.44
bad,BBW,2005-10-26,medium_file_threshold_edge_hard_many_crosses,positive_cross_mild_lt5bps,HARD_FAIL,D,632,1.740506329113924,11,1,10,21.677215189873415,4.217712408670801,8.587376556461818,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\BBW_2005_10_26,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\BBW_2005_10_26\00_event_month_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\BBW_2005_10_26\00a_event_month_adjusted_proxy.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\BBW_2005_10_26\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\BBW_2005_10_26\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\BBW_2005_10_26\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\BBW_2005_10_26\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\BBW_2005_10_26\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\BBW_2005_10_26\case_note.md,D:\quotes\BBW\year=2005\month=10\day=26\quotes.parquet,4.43,10,1.0,0,23.3,20.269389036412903,23.87,23.87,23.3
bad,MMA,2006-08-11,medium_file_threshold_edge_hard_many_crosses,positive_cross_mild_lt5bps,HARD_FAIL,D,752,1.3297872340425532,10,1,9,0.39893617021276595,3.5951824555101797,7.192692820336891,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\MMA_2006_08_11,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\MMA_2006_08_11\00_event_month_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\MMA_2006_08_11\00a_event_month_adjusted_proxy.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\MMA_2006_08_11\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\MMA_2006_08_11\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\MMA_2006_08_11\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\MMA_2006_08_11\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\MMA_2006_08_11\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\MMA_2006_08_11\case_note.md,D:\quotes\MMA\year=2006\month=08\day=11\quotes.parquet,2.915,6,1.0,0,27.75,24.368788344645893,27.755,27.755,27.75
bad,PLL,2006-04-28,medium_file_threshold_edge_hard_many_crosses,positive_cross_mild_lt5bps,HARD_FAIL,D,535,3.177570093457944,17,14,3,3.177570093457944,3.3129037601462854,3.3129037601462854,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\PLL_2006_04_28,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\PLL_2006_04_28\00_event_month_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\PLL_2006_04_28\00a_event_month_adjusted_proxy.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\PLL_2006_04_28\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\PLL_2006_04_28\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\PLL_2006_04_28\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\PLL_2006_04_28\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\PLL_2006_04_28\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\PLL_2006_04_28\case_note.md,D:\quotes\PLL\year=2006\month=04\day=28\quotes.parquet,6.7749999999999995,36,1.0,0,30.18,25.04547848887147,30.345,30.345,30.18
bad,EAC,2005-06-27,medium_file_threshold_edge_hard_many_crosses,positive_cross_mild_lt5bps,HARD_FAIL,D,707,2.4045261669024045,17,1,16,0.4243281471004243,2.3784062435246485,16.562167277889575,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\EAC_2005_06_27,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\EAC_2005_06_27\00_event_month_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\EAC_2005_06_27\00a_event_month_adjusted_proxy.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\EAC_2005_06_27\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\EAC_2005_06_27\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\EAC_2005_06_27\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\EAC_2005_06_27\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\EAC_2005_06_27\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\EAC_2005_06_27\case_note.md,D:\quotes\EAC\year=2005\month=06\day=27\quotes.parquet,0.0,0,1.5,1,27.8333,27.8333,41.942499999999995,27.961666666666662,18.555533333333333
bad,SSN,2017-01-04,medium_file_threshold_edge_hard_many_crosses,positive_cross_mild_lt5bps,HARD_FAIL,D,877,0.9122006841505131,8,0,8,0.11402508551881414,1.3697691938906786,1.3697691938906786,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SSN_2017_01_04,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SSN_2017_01_04\00_event_month_context.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SSN_2017_01_04\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SSN_2017_01_04\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SSN_2017_01_04\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SSN_2017_01_04\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SSN_2017_01_04\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\SSN_2017_01_04\case_note.md,D:\quotes\SSN\year=2017\month=01\day=04\quotes.parquet,0.0,0,1.0,0,,,,,
bad,UXG,2007-03-01,medium_file_threshold_edge_hard_many_crosses,positive_cross_moderate_5to25bps,HARD_FAIL,D,575,1.391304347826087,8,0,8,0.0,21.482277121374405,21.65280897944926,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\UXG_2007_03_01,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\UXG_2007_03_01\00_event_month_context.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\UXG_2007_03_01\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\UXG_2007_03_01\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\UXG_2007_03_01\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\UXG_2007_03_01\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\UXG_2007_03_01\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\UXG_2007_03_01\case_note.md,D:\quotes\UXG\year=2007\month=03\day=01\quotes.parquet,0.0,0,1.0,0,,,,,
bad,MSW,2005-07-27,medium_file_threshold_edge_hard_many_crosses,positive_cross_moderate_5to25bps,HARD_FAIL,D,264,3.0303030303030303,8,0,8,0.7575757575757576,18.88574126534426,37.62935089369795,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\MSW_2005_07_27,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\MSW_2005_07_27\00_event_month_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\MSW_2005_07_27\00a_event_month_adjusted_proxy.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\MSW_2005_07_27\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\MSW_2005_07_27\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\MSW_2005_07_27\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\MSW_2005_07_27\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\MSW_2005_07_27\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\MSW_2005_07_27\case_note.md,D:\quotes\MSW\year=2005\month=07\day=27\quotes.parquet,1.7999999999999998,11,1.0,0,10.5,8.72946058186707,10.655000000000001,10.655000000000001,10.5
bad,HGSH,2013-04-26,medium_file_threshold_edge_hard_many_crosses,positive_cross_moderate_5to25bps,HARD_FAIL,D,359,2.2284122562674096,8,6,2,1.6713091922005572,8.28843762950666,8.28843762950666,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\HGSH_2013_04_26,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\HGSH_2013_04_26\00_event_month_context.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\HGSH_2013_04_26\00b_event_month_quotes_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\HGSH_2013_04_26\01_raw_window.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\HGSH_2013_04_26\02_full_session_context.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\HGSH_2013_04_26\03_structure_diagnostics.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\HGSH_2013_04_26\04_summary_card.png,,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\quotes\evidence_assets\bad\HGSH_2013_04_26\case_note.md,D:\quotes\HGSH\year=2013\month=04\day=26\quotes.parquet,0.0,0,1.0,0,,,,,
