contract_version,lesson_id,image_ref_index,image_id,section_id,source_line,source_syntax,source_ref_original,source_ref_decoded,resolved_path,resolution_status,sha256,visual_type,contains_numbers,contains_chart,doctrine_relevance,requires_human_review,technical_reading_ref,notes
sersan_image_evidence_index_v0_1,sersan_practice_15_revised,1,sersan_practice_15_revised_img_000,sersan_practice_15_revised_sec_0002,18,html_img,../img/000.png,../img/000.png,02_workshops/25-practice-15/img/000.png,resolved_lesson_fallback,sha256:82c51327f92333080d5af5010725ca5f420b077c59552ef26ad18e7350a6ec4b,unclassified,false,false,low,false,,Indexed only; low doctrine relevance for this pilot.
sersan_image_evidence_index_v0_1,sersan_practice_15_revised,2,sersan_practice_15_revised_img_001,sersan_practice_15_revised_sec_0002,29,html_img,../img/001.png,../img/001.png,02_workshops/25-practice-15/img/001.png,resolved_lesson_fallback,sha256:1adf46417ec0dfe08a7eeb2c9b33ed34ef4d2ac20067fbf595fefba770ec2c2f,unclassified,false,false,low,false,,Indexed only; low doctrine relevance for this pilot.
sersan_image_evidence_index_v0_1,sersan_practice_15_revised,3,sersan_practice_15_revised_img_002,sersan_practice_15_revised_sec_0002,44,html_img,../img/002.png,../img/002.png,02_workshops/25-practice-15/img/002.png,resolved_lesson_fallback,sha256:7b878c7fd328a462a99e6a889a29014d2c3d9f1d6212863d8b2d448fbf3bf797,unclassified,false,false,low,false,,Indexed only; low doctrine relevance for this pilot.
sersan_image_evidence_index_v0_1,sersan_practice_15_revised,4,sersan_practice_15_revised_img_003,sersan_practice_15_revised_sec_0002,51,html_img,../img/003.png,../img/003.png,02_workshops/25-practice-15/img/003.png,resolved_lesson_fallback,sha256:c5ae4f62f3496cb5dcfacfbd04699c08062d4064e5cba68b31be9efcaca071b3,unclassified,false,false,low,false,,Indexed only; low doctrine relevance for this pilot.
sersan_image_evidence_index_v0_1,sersan_practice_15_revised,5,sersan_practice_15_revised_img_004,sersan_practice_15_revised_sec_0004,167,html_img,../img/004.png,../img/004.png,02_workshops/25-practice-15/img/004.png,resolved_lesson_fallback,sha256:c9bb66ccb42a08ff4f1f7371990391f6886ecb4fc1047307a4ccd0ae1b3081e4,unclassified,false,false,low,false,,Indexed only; low doctrine relevance for this pilot.
sersan_image_evidence_index_v0_1,sersan_practice_15_revised,6,sersan_practice_15_revised_img_005,sersan_practice_15_revised_sec_0004,174,html_img,../img/005.png,../img/005.png,02_workshops/25-practice-15/img/005.png,resolved_lesson_fallback,sha256:42ecb74e640a4189fe51e5e34a36e4f0741eb374c2e45081165ecef5f73a163c,unclassified,false,false,low,false,,Indexed only; low doctrine relevance for this pilot.
sersan_image_evidence_index_v0_1,sersan_practice_15_revised,7,sersan_practice_15_revised_img_008,sersan_practice_15_revised_sec_0004,191,html_img,../img/008.png,../img/008.png,02_workshops/25-practice-15/img/008.png,resolved_lesson_fallback,sha256:21b20d7c09246b39bb85bdd5e4cebce08df77ccb4b30bd2e08536668ae0ba1d5,unclassified,false,false,low,false,,Indexed only; low doctrine relevance for this pilot.
sersan_image_evidence_index_v0_1,sersan_practice_15_revised,8,sersan_practice_15_revised_img_008_copia,sersan_practice_15_revised_sec_0004,200,html_img,../img/008%20-%20copia.png,../img/008 - copia.png,02_workshops/25-practice-15/img/008 - copia.png,resolved_lesson_fallback,sha256:071e961474f3a4d00c2e6bbe176cd38760f6195a0d54b985b3e250855efcfbea,unclassified,false,false,low,false,,Indexed only; low doctrine relevance for this pilot.
sersan_image_evidence_index_v0_1,sersan_practice_15_revised,9,sersan_practice_15_revised_img_009,sersan_practice_15_revised_sec_0004,229,html_img,../img/009.png,../img/009.png,02_workshops/25-practice-15/img/009.png,resolved_lesson_fallback,sha256:732c3f051a5c4633536b3277763859b1db8baf5abcc26d12777fd5b8b5a9094f,unclassified,false,false,low,false,,Indexed only; low doctrine relevance for this pilot.
sersan_image_evidence_index_v0_1,sersan_practice_15_revised,10,sersan_practice_15_revised_img_010,sersan_practice_15_revised_sec_0004,233,html_img,../img/010.png,../img/010.png,02_workshops/25-practice-15/img/010.png,resolved_lesson_fallback,sha256:c62645093ef5b09a4eaf7f144b1de73b010a23f800c05baaa81f19c4ef1827ea,unclassified,false,false,low,false,,Indexed only; low doctrine relevance for this pilot.
sersan_image_evidence_index_v0_1,sersan_practice_15_revised,11,sersan_practice_15_revised_img_011,sersan_practice_15_revised_sec_0007,892,html_img,../img/011.png,../img/011.png,02_workshops/25-practice-15/img/011.png,resolved_lesson_fallback,sha256:646f9f8418698d7210be0bfadd45665963a0e45ce38af1c8e55dc57c84d055c1,unclassified,false,false,low,false,,Indexed only; low doctrine relevance for this pilot.
sersan_image_evidence_index_v0_1,sersan_practice_15_revised,12,sersan_practice_15_revised_img_012,sersan_practice_15_revised_sec_0007,945,html_img,../img/012.png,../img/012.png,02_workshops/25-practice-15/img/012.png,resolved_lesson_fallback,sha256:389d4536f916c16ab65cff559e6fc7cca7a3bcb587cd089e5ff017e3549ba8af,unclassified,false,false,low,false,,Indexed only; low doctrine relevance for this pilot.
